country,survey,year,category,sex,wealth,region,location,comp_higher_2529,comp_lowsec,comp_lowsec_1524,comp_prim,comp_prim_1524,comp_upsec,comp_upsec_2029,edu0_prim,edu_out_lowsec,edu_out_pry,edu_out_upsec,eduyears_2024,comp_higher_2529_no,comp_lowsec_no,comp_lowsec_1524_no,comp_prim_no,comp_prim_1524_no,comp_upsec_no,comp_upsec_2029_no,edu0_prim_no,edu_out_lowsec_no,edu_out_pry_no,edu_out_upsec_no,eduyears_2024_no,source,eracy_1524_no,_noliteracy_1524,ethnicity,literacy_1524,literacy_1524_no,v2,keep
Canada,LIS,2015,Total,,,,,.7238229911909804,,,,,.9093039694492159,.9302331493603938,.7086022992168632,,,.0482021436554671,12.56227864921638,3203,0,0,0,0,3063,6266,1381,0,0,1421,3063,C:\Users\taiku\Documents\GEM UNESCO MBR\Datasets to update WIDE\LIS/Canada/indicators_LIS_Canada.dta,,,,,,,
Canada,LIS,2015,Location,,,,Rural,.6094258914173624,,,,,.8585906460320577,.8888309751906569,.6931005983080779,,,.0495583127906104,12.12646471241875,374,0,0,0,0,374,748,232,0,0,238,374,C:\Users\taiku\Documents\GEM UNESCO MBR\Datasets to update WIDE\LIS/Canada/indicators_LIS_Canada.dta,,,,,,,
Canada,LIS,2015,Location,,,,Urban,.7315600224197832,,,,,.9137388060638453,.9334261273500035,.7104785304752468,,,.0480420079886468,12.60039020400795,2829,0,0,0,0,2689,5518,1149,0,0,1183,2689,C:\Users\taiku\Documents\GEM UNESCO MBR\Datasets to update WIDE\LIS/Canada/indicators_LIS_Canada.dta,,,,,,,
Canada,LIS,2015,Region,,,Alberta,,.7468175766302133,,,,,.9062305745492765,.9461301443231287,.6462661092620822,,,.0720632508040631,12.34764430150943,421,0,0,0,0,286,707,146,0,0,151,286,C:\Users\taiku\Documents\GEM UNESCO MBR\Datasets to update WIDE\LIS/Canada/indicators_LIS_Canada.dta,,,,,,,
Canada,LIS,2015,Region,,,British Columbia,,.706084394014815,,,,,.9066588778442123,.9397532552955592,.7588611010103081,,,.0493716384706986,12.17443341102826,328,0,0,0,0,342,670,154,0,0,156,342,C:\Users\taiku\Documents\GEM UNESCO MBR\Datasets to update WIDE\LIS/Canada/indicators_LIS_Canada.dta,,,,,,,
Canada,LIS,2015,Region,,,Manitoba,,.5875538130035416,,,,,.8670996977808768,.898254232799617,.812662061666201,,,.0681576357663782,11.96164257147701,324,0,0,0,0,337,661,141,0,0,142,337,C:\Users\taiku\Documents\GEM UNESCO MBR\Datasets to update WIDE\LIS/Canada/indicators_LIS_Canada.dta,,,,,,,
Canada,LIS,2015,Region,,,New Brunswick,,.6417299427262829,,,,,.9312215027280519,.9467616967698578,.7257992419755374,,,.0418156293602015,12.50976163301096,111,0,0,0,0,126,237,77,0,0,79,126,C:\Users\taiku\Documents\GEM UNESCO MBR\Datasets to update WIDE\LIS/Canada/indicators_LIS_Canada.dta,,,,,,,
Canada,LIS,2015,Region,,,Newfoundland and Labrador,,.6487365526134932,,,,,.9412466614919981,.9508511214556736,.774565068892286,,,0,12.88785589343859,124,0,0,0,0,114,238,42,0,0,47,114,C:\Users\taiku\Documents\GEM UNESCO MBR\Datasets to update WIDE\LIS/Canada/indicators_LIS_Canada.dta,,,,,,,
Canada,LIS,2015,Region,,,Nova Scotia,,.6686703916434829,,,,,.9449449619527288,.9475027766073547,.7419182688793377,,,.0313365932955108,12.47764911757604,145,0,0,0,0,134,279,81,0,0,85,134,C:\Users\taiku\Documents\GEM UNESCO MBR\Datasets to update WIDE\LIS/Canada/indicators_LIS_Canada.dta,,,,,,,
Canada,LIS,2015,Region,,,Ontario,,.744589255995049,,,,,.9392034728183729,.946007136980729,.7919832654313835,,,.0412524289717622,12.75714522559695,822,0,0,0,0,857,1679,373,0,0,384,857,C:\Users\taiku\Documents\GEM UNESCO MBR\Datasets to update WIDE\LIS/Canada/indicators_LIS_Canada.dta,,,,,,,
